,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
67,Data Science Intern,Wow Labz,Bangalore,1 years of hands-on experience in using Python based machine learning packages and libr...,0-1 Yrs," github, data science, Coding, Analytical, Machine learning, Campus recruitment, Flex, Data mining",https://www.naukri.com/job-listings-data-science-intern-wow-labz-bangalore-bengaluru-0-to-1-years-230822500773
68,Senior Vice President - Analytics - Data Science Team - IIT / IIM,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",8-13 Yrs," Analytics, Data Science, Artificial Intelligence, Data Management, Hadoop, Machine Learning, Python, SQL",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-iit-iim-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-091122913597
69,Sr. Vice President - Analytics - Data Science Team - Insurance -  IIT,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors/ Masters degree in economics, mathematics, actuarial sciences, computer scien...",8-13 Yrs," Data Science, Artificial Intelligence, Data Management, Data Analytics, Machine Learning, Analytics, Python, SQL",https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-team-insurance-iit-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-011122909209
70,Senior Vice President - Analytics - Data Science Team - Insurance,Huquo Consulting Pvt. Ltd,Gurgaon,Senior Vice President - Analytics - Data Science Team - Insurance - IIT/IIM/XLRI/NITRol...,8-13 Yrs," Data Science, Hadoop, Spark, Artificial Intelligence, Data Management, Data Analytics, Machine Learning, Statistics",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-insurance-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-011122909143
71,Senior Vice President- Analytics- Data Science Team-Insurance- IIT/IIM,Huquo Consulting Pvt. Ltd,Gurgaon,Roles and ResponsibilitiesSenior Vice President - Analytics - Data Science Team - Insur...,8-13 Yrs," Data Science, Artificial Intelligence, Data Management, Data Analytics, Machine Learning, Statistics, Analytics, Python",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-insurance-iit-iim-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-011122909096
72,Sr Vice President- Analytics- Data Science Team- Insurance,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",8-13 Yrs," Data Science, Consulting - BFSI, Artificial Intelligence, Data Management, Data Analytics, Machine Learning, Statistics, Analytics",https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-team-insurance-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-011122909050
73,Senior Associate Director - Data Science - Insurance - IIT/IIM/NIT,Huquo Consulting Pvt. Ltd,Gurgaon,Senior Associate Director - Data Science - Insurance - IIT/IIM/NIT/XLRI (7-15 yrs)Role ...,7-12 Yrs," Data Science, Artificial Intelligence, Data Management, Data Modeling, Data Analytics, Machine Learning, Statistics, Analytics",https://www.naukri.com/job-listings-senior-associate-director-data-science-insurance-iit-iim-nit-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-011122908323
74,Speech & Text Analytics Engineer Data  Science,Anicalls,Chennai,Candidate should be able to: - Build text-based search engine and question answering sy...,5-10 Yrs," IT Skills, Machine Learning, Unix, Text mining, deep learning, data science, Data processing, Data structures",https://www.naukri.com/job-listings-speech-text-analytics-engineer-data-science-anicalls-chennai-5-to-10-years-280322500092
75,Data Science /Senior Business Analyst,Gcc Services,Bangalore,"2 - 6 years of experience in Data / Business Analytics For centuries, the experience of...",2-7 Yrs," machine learning, Python, power bi, sql",https://www.naukri.com/job-listings-data-science-senior-business-analyst-abinbev-gcc-services-private-limited-bangalore-bengaluru-2-to-7-years-091122909271
76,Manager - Data Science,TransOrg Analytics,Multiple,Lead multiple analytics engagements and responsible for delivering the analytics soluti...,5-9 Yrs," Data Science, Big Data, Statistical Modeling, Data Visualization, Data Analytics, Machine Learning, Statistics, Analytics",https://www.naukri.com/job-listings-manager-data-science-transorg-analytics-mumbai-gurgaon-gurugram-5-to-9-years-041122913557
77,Data Science Analytics,Diverse Infotech,Gurgaon,Should be comfortable acquiring data independently from primary/ secondary data sources...,2-7 Yrs," MySQL, MS Access, analytical, data science, Analytics",https://www.naukri.com/job-listings-data-science-analytics-diverse-infotech-pvt-ltd-gurgaon-2-to-7-years-110620500887
78,Data science Manager-Model Risk Control,Xoom,Chennai,Bachelor s or Master s degree in quantitative science or engineering field (Computer Sc...,2-4 Yrs," Computer science, remediation, Data analysis, data science, Risk control, Machine learning, Data analytics, Risk management",https://www.naukri.com/job-listings-data-science-manager-model-risk-control-xoom-inc-chennai-2-to-4-years-031122502099
79,Big Data Science Manager,Seven Consultancy (HR Solution),New Delhi,Providing thought leadership and mentoring to the data engineering team on how data sho...,4-9 Yrs," data science, big data analytics, Consultancy, Data quality, Cost optimization, Recruitment",https://www.naukri.com/job-listings-big-data-science-manager-seven-consultancy-hr-solution-new-delhi-4-to-9-years-280322501280
80,"Consultant, Data Science and Analytics",Transunion,Pune,"Master s or PhD degree in statistics, applied mathematics, financial mathematics, engin...",4-8 Yrs," IT Skills, Java, Python, Data Science, Machine Learning, Project Management, Big Data, C++",https://www.naukri.com/job-listings-consultant-data-science-and-analytics-transunion-software-services-pvt-ltd-pune-4-to-8-years-061022500267
81,"Consultant, Data Science and Analytics",Transunion,Pune,"Bachelors (4 year) degree in statistics, applied mathematics, financial mathematics, en...",4-8 Yrs," cloud, Hive, Java, Hadoop, Spark, SQL, analytical, Pig",https://www.naukri.com/job-listings-consultant-data-science-and-analytics-transunion-software-services-pvt-ltd-pune-4-to-8-years-310122500758
82,SR. Manager - Data Science- Life Insurance - Mumbai,HiringHawk.com,Mumbai,"Collaborate with key business, technology & operations departments to identify the most...",9-12 Yrs," Power BI, Tableau, life insurance, Python, SQL",https://www.naukri.com/job-listings-sr-manager-data-science-life-insurance-mumbai-hiringhawk-com-mumbai-all-areas-9-to-12-years-171122008694
83,Associate Vice President - Analytics - Data Science Team,Huquo Consulting Pvt. Ltd,Multiple,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",10-15 Yrs," Data Science, Artificial Intelligence, Data Management, Data Modeling, Data Analytics, Machine Learning, Statistics, Analytics",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-team-huquo-consulting-pvt-ltd-gurgaon-gurugram-delhi-ncr-10-to-15-years-011122908337
84,Associate Vice President - Data Science Team,Huquo Consulting Pvt. Ltd,Multiple,A suitable candidate should have 8-10 years of experience in a similar role and should ...,8-13 Yrs," Data Science, Consulting - BFSI, Data Analytics, Analytics",https://www.naukri.com/job-listings-associate-vice-president-data-science-team-huquo-consulting-pvt-ltd-gurgaon-gurugram-delhi-ncr-8-to-13-years-011122908005
85,Associate Vice President - Data Science Team - Insurance,Huquo Consulting Pvt. Ltd,Multiple,A suitable candidate should have 8-10 years of experience in a similar role and should ...,8-13 Yrs," Data Science, Data Engineering, Data Analytics",https://www.naukri.com/job-listings-associate-vice-president-data-science-team-insurance-huquo-consulting-pvt-ltd-gurgaon-gurugram-delhi-ncr-8-to-13-years-081122900207
86,AVP - Data Science Team - Insurance,Huquo Consulting Pvt. Ltd,Multiple,A suitable candidate should have 8-10 years of experience in a similar role and should ...,8-13 Yrs," Data Science, Consulting - BFSI, Data Analytics, Analytics",https://www.naukri.com/job-listings-avp-data-science-team-insurance-huquo-consulting-pvt-ltd-gurgaon-gurugram-delhi-ncr-delhi-ncr-gurgaon-gurugram-8-to-13-years-011122908164
87,Manager - Data Science - IT,Zorba Consulting India Pvt. Ltd.,Multiple,Note - The person must be available to start within 4 weeks Should be able to handle a ...,11-15 Yrs," Data Science, Predictive Modeling, database management, data analytics, ETL, Machine Learning, SQL, Python",https://www.naukri.com/job-listings-manager-data-science-it-zorba-consulting-india-pvt-ltd-mumbai-navi-mumbai-11-to-15-years-021122911313
88,Assistant Manager/ Lead Assistant Manager - Data Science/ SAS,Huquo Consulting Pvt. Ltd,Multiple,Assistant Manager/ Lead Assistant Manager - Data Science/ SAS/ Python/ R & Excel - BFSI...,2-6 Yrs," Data Science, Predictive Modeling, Consulting - BFSI, SAS, Data Management, Statistical Modeling, Data Analytics, Statistics",https://www.naukri.com/job-listings-assistant-manager-lead-assistant-manager-data-science-sas-huquo-consulting-pvt-ltd-ahmedabad-gurgaon-gurugram-gujarat-2-to-6-years-011122908945
89,Delivery Manager Data Science and Advance Analytics Consultant,PlaceMinds Consulting Pvt. Ltd,Multiple,"Domain understanding of preferably two verticals amongst Retail, Cable, and Technology ...",10-14 Yrs," Analytics, Solution design, storytelling, client engagement, consulting, SaaS, data engineering, lead strategist",https://www.naukri.com/job-listings-delivery-manager-data-science-and-advance-analytics-consultant-placeminds-consulting-pvt-ltd-mumbai-pune-10-to-14-years-071122910423
90,Manager - Data Science - IT,Zorba Consulting India Pvt. Ltd.,Multiple,Note - The person must be available to start within 4 weeks Should be able to handle a ...,5-10 Yrs," Data Science, Machine Learning, ETL, R, SQL queries, Predictive Modeling, Excel, Python",https://www.naukri.com/job-listings-manager-data-science-it-zorba-consulting-india-pvt-ltd-mumbai-navi-mumbai-5-to-10-years-031122905525
91,Python & Data Science Engineer,Quest Global,Bangalore,3+ years of Experience in SQL required 3+ years of Experience using AI / ML tools is re...,3-6 Yrs," Python, AI, statistical analysis, modeling, SQL, machine learning, IT Skills, data modeling",https://www.naukri.com/job-listings-python-data-science-engineer-quest-global-engineering-services-private-limited-bangalore-bengaluru-3-to-6-years-051122900963
92,Engineering Manager - Data Science,Zeta Inc.,Bangalore,Building highly-scalable and secure data infrastructure that is used by multiple teams ...,4-9 Yrs," Superset, AWS Athena, Presto, Kafka, Spark, Flink, RDBMS, IaaS",https://www.naukri.com/job-listings-engineering-manager-data-science-zeta-inc-bangalore-bengaluru-4-to-9-years-011122501397
93,Data Science Analyst,Kireeti Indenting & Exim Services Pvt Ltd,Hyderabad,Skills 1) Strength In Matrix 2) Proficient With MS Excel And MS Word (*Advanced Excel) ...,2-6 Yrs," advanced excel, Data Validation, Logical Database, Logical Approach, Query Management, Conditional Formatting, communication skills",https://www.naukri.com/job-listings-data-science-analyst-kireeti-indenting-exim-services-pvt-ltd-hyderabad-secunderabad-2-to-6-years-211122002831
94,Data Science Lead - Forecasting,Cargill,Bangalore,"Own and design statistical model, evaluate differentiating features and deploy forecast...",6-11 Yrs," Data analysis, data science, Machine learning, Javascript, Supply chain solutions, Workflow, Forecasting, Monitoring",https://www.naukri.com/job-listings-data-science-lead-forecasting-cargill-india-pvt-ltd-bangalore-bengaluru-6-to-11-years-240922500096
95,Associate Director - Data Science Lead,WNS Holdings,Multiple,"Designation - Associate Director Skill - Data Science, Data Analytics , Machine Learnin...",10-20 Yrs," Team Management, Data Engineering, Property And Casualty Insurance, data science, Artificial Intelligence, python, machine learning",https://www.naukri.com/job-listings-associate-director-data-science-lead-wns-global-services-private-limited-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-10-to-20-years-151122010463
96,Data Science Manager,EY Global Delivery Services India Llp,Multiple,Manager Data ScienceData and Analytics team is a multi-disciplinary technology team del...,8-12 Yrs," data science, Natural Language Processing, Algorithms, data analysis, machine learning, Statistics, Python",https://www.naukri.com/job-listings-data-science-manager-ey-global-delivery-services-india-llp-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-151122009227
97,Data Science- supply chain optimization,EY Global Delivery Services India Llp,Multiple,Manager Data Science for Supply Chain OptimizationData and Analytics team is a multi-di...,8-12 Yrs," Inventory Optimization, Simulation, Supply Chain Optimization, machine learning, Artificial Intelligence, Workforce Analytics, Network Optimization",https://www.naukri.com/job-listings-data-science-supply-chain-optimization-ey-global-delivery-services-india-llp-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-101122006942
98,Technical Expert - AI & Industrial Data Science,Siemens,Bangalore,"Asa successful candidate, you will hold an Advanced degree in Chemicalengineering, Mech...",5-10 Yrs," Thermodynamics, data science, Pumps, Manufacturing process, Formulation, Pharma, Healthcare, Heat exchangers",https://www.naukri.com/job-listings-technical-expert-ai-industrial-data-science-siemens-limited-bangalore-bengaluru-5-to-10-years-161122500850
99,Technical Expert - Industrial Data Science,Siemens,Bangalore,"Asthe successful candidate, you will hold an advanced degree in Computer Science, Chemi...",5-10 Yrs," Operations research, Publishing, Data management, Artificial Intelligence, Machine learning, Research, Data mining, Forecasting",https://www.naukri.com/job-listings-technical-expert-industrial-data-science-siemens-limited-bangalore-bengaluru-5-to-10-years-131022500645
100,Junior Software Engineer - Data Science,LogiNext,Mumbai,"Bachelors degree or higher in Computer Science, Information Technology, Information Sys...",0-1 Yrs," Java, SaaS, Python, data mining, Tableau, C++, Hadoop, Analytical",https://www.naukri.com/job-listings-junior-software-engineer-data-science-loginext-solutions-mumbai-0-to-1-years-140922502287
101,Principal Analyst - Data Science,Gcc Services,Multiple,"Level of educational attainment required: B Tech in any branch, or Masters in Statistic...",2-5 Yrs, Data Science,https://www.naukri.com/job-listings-principal-analyst-data-science-gcc-services-india-private-limited-pune-chennai-bangalore-bengaluru-2-to-5-years-091122909256
102,Data Science Analyst,Banyan Cloud,Bangalore,"Bachelor /Masters degree from a top-tier institute, ideally in quantitative discipline ...",3-5 Yrs," Generalized Linear Model, Linear Analysis, Deep Learning, Machine Learning, Hadoop, Modelling, communication, K - Mean",https://www.naukri.com/job-listings-data-science-analyst-banyan-cloud-bangalore-bengaluru-3-to-5-years-190722500518
103,Data Analyst - Data Science,Altigreen Propulsion Labs,Bangalore,Bachelors in STEM Must have 5+ years experience as Data / Business Analyst Must have 5+...,5-10 Yrs," Data analysis, Business Analyst, data science, Coding, Data Analyst, AWS, Statistics, SQL",https://www.naukri.com/job-listings-data-analyst-data-science-altigreen-bangalore-bengaluru-5-to-10-years-041022500035
104,Marketing Analyst - Data Science,Triangle Global,Multiple,"Market Mix modeling ( MMM) , Media Mix, Funnel Analysis , Campaign budget optimization ...",6-7 Yrs," Marketing analytics, data science, Bfsi, Sales analytics, Sales forecasting, Healthcare, E-commerce, Value analysis",https://www.naukri.com/job-listings-marketing-analyst-data-science-triangle-global-noida-pune-bangalore-bengaluru-6-to-7-years-021122501150
105,Marketing Analyst - Data Science,Triangle Global,Multiple,"Market Mix modeling ( MMM) , Media Mix, Funnel Analysis , Campaign budget optimization ...",12-15 Yrs," Marketing analytics, data science, Bfsi, Sales analytics, Sales forecasting, Healthcare, E-commerce, Marketing Analyst",https://www.naukri.com/job-listings-marketing-analyst-data-science-triangle-global-noida-pune-bangalore-bengaluru-12-to-15-years-021122501149
106,Senior Manager Data Science,Merck Sharp & Dohme (MSD),Pune,Experience having deployed models to production is a mustExperience within any of the t...,5-9 Yrs," CVS, Claims, Machine learning, Javascript, Agile, Oncology, Scrum, Analytics",https://www.naukri.com/job-listings-senior-manager-data-science-msd-pharmaceuticals-private-limited-pune-5-to-9-years-071122502851
107,Cluster Manager - Data Science/Senior Cluster Manager,BAJAJ FINSERVE,Pune,Translate business questions into clear and solvable data science problems Maximize val...,5-10 Yrs," SAS, Coding, Machine learning, Agile, System design, Perl, Open source, Distribution system",https://www.naukri.com/job-listings-cluster-manager-data-science-senior-cluster-manager-bajaj-finserv-ltd-pune-5-to-10-years-200822500627
